time,bid_price_min,bid_price_q1,bid_price_median,bid_price_q3,bid_price_max,bid_price_mean,bid_price_std,ask_price_min,ask_price_q1,ask_price_median,ask_price_q3,ask_price_max,ask_price_mean,ask_price_std,bid_vol_price_sum,bid_vol_price_min,bid_vol_price_q1,bid_vol_price_median,bid_vol_price_q3,bid_vol_price_max,bid_vol_price_mean,bid_vol_price_std,ask_vol_price_sum,ask_vol_price_min,ask_vol_price_q1,ask_vol_price_median,ask_vol_price_q3,ask_vol_price_max,ask_vol_price_mean,ask_vol_price_std,spread_min,spread_btwn_means,spread_btwn_medians,spread_btwn_vol_sums,spread_btwn_vol_means,spread_btwn_vol_medians
0.0,0.01,1688.15,2402.06,3041.14,3463.49,2245.446380742668,924.133462743742,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58321084.54130349,0.0009416,27.6085415576,109.2853632459,991.99999216825,2813482.9818,5837.362080002352,54117.19157773848,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.46992702295,1699.3200000000002,419481083.41382927,107979.25725185395,1686.0796367540995
0.028059,0.01,1688.15,2402.06,3041.14,3463.49,2245.446380742668,924.133462743742,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58321084.54130349,0.0009416,27.6085415576,109.2853632459,991.99999216825,2813482.9818,5837.362080002352,54117.19157773848,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.46992702295,1699.3200000000002,419481083.41382927,107979.25725185395,1686.0796367540995
0.057995,0.01,1688.225,2402.085,3041.2,3463.49,2245.567842273819,924.16696683007,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58322122.2683035,0.0009416,27.6137707788,109.28536349395,992.0001883688748,2813482.9818,5836.881732216123,54114.50478385027,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.34846549179,1699.295,419480045.68682927,107979.73759964018,1686.0796365060498
0.069528,0.01,1688.225,2402.085,3041.2,3463.49,2245.567842273819,924.16696683007,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91630776561,711240.1494593514,58322122.2683035,0.0009416,27.6137707788,109.28536349395,992.0001883688748,2813482.9818,5836.881732216123,54114.50478385027,477802167.9551328,0.7941946752,127.1082388597,1795.3649999999998,7890.1125,86006715.38140693,113816.6193318563,1687209.3636478742,0.2300000000000182,34177.34846549179,1699.295,419480045.68682927,107979.73759964018,1686.0796365060498
0.130339,0.01,1688.15,2402.06,3041.14,3463.49,2245.446207586828,924.1332346815578,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91594092425,711240.1493549657,58322202.74775774,0.0009416,27.629896373,109.285363742,992.00038269425,2813482.9818,5837.474001377013,54117.18066704408,477803200.2289856,0.7941946752,127.4683165791,1796.3125,7890.1125,86006715.38140693,113816.86522843868,1687209.346974742,0.2300000000000182,34177.46973333742,1699.3200000000002,419480997.4812278,107979.39122706166,1687.027136258
0.168788,0.01,1688.15,2402.06,3041.14,3463.49,2245.446207586828,924.1332346815578,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91594092425,711240.1493549657,58322202.74775774,0.0009416,27.629896373,109.285363742,992.00038269425,2813482.9818,5837.474001377013,54117.18066704408,477803200.2289856,0.7941946752,127.4683165791,1796.3125,7890.1125,86006715.38140693,113816.86522843868,1687209.346974742,0.2300000000000182,34177.46973333742,1699.3200000000002,419480997.4812278,107979.39122706166,1687.027136258
0.202139,0.01,1688.0,2402.0,3040.58,3463.49,2245.202345580138,924.0650151365724,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.066680161945,711155.6345476464,58320762.821334414,0.0009416,27.619,109.2853632459,992.000771345,2813482.9818,5838.498630627131,54122.54962225822,477803500.25059617,0.7941946752,127.6536777194,1795.86,7887.065,86006715.38140693,113789.8309718019,1687009.338256453,0.2300000000000182,34169.864334581805,1699.0,419482737.42926174,107951.33234117476,1686.5746367541
0.205913,0.01,1688.0,2402.0,3040.58,3463.49,2245.202345580138,924.0650151365724,3463.72,3623.51,4101.0,5801.635,33333333.33,36415.066680161945,711155.6345476464,58320762.821334414,0.0009416,27.619,109.2853632459,992.000771345,2813482.9818,5838.498630627131,54122.54962225822,477803500.25059617,0.7941946752,127.6536777194,1795.86,7887.065,86006715.38140693,113789.8309718019,1687009.338256453,0.2300000000000182,34169.864334581805,1699.0,419482737.42926174,107951.33234117476,1686.5746367541
0.209013,0.01,1688.225,2402.085,3041.2,3463.49,2245.5676521216974,924.166716403008,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91071700809,711240.1495969627,58323840.34413008,0.0009416,27.6353445595,109.2853637917,992.3982942639252,2813482.9818,5837.053677354892,54114.48932268703,477802754.5322066,0.7941946752,127.4683165791,1796.3125,7890.1125,86006715.38140693,113816.75905960138,1687209.354084964,0.2300000000000182,34177.343064886394,1699.295,419478914.1880765,107979.70538224648,1687.0271362083
0.272023,0.01,1688.225,2402.085,3041.2,3463.49,2245.5676521216974,924.166716403008,3463.72,3623.6475,4101.38,5801.8175,33333333.33,36422.91071700809,711240.1495969627,58323840.34413008,0.0009416,27.6353445595,109.2853637917,992.3982942639252,2813482.9818,5837.053677354892,54114.48932268703,477802754.5322066,0.7941946752,127.4683165791,1796.3125,7890.1125,86006715.38140693,113816.75905960138,1687209.354084964,0.2300000000000182,34177.343064886394,1699.295,419478914.1880765,107979.70538224648,1687.0271362083
