time,bid_price_min,bid_price_q1,bid_price_median,bid_price_q3,bid_price_max,bid_price_mean,bid_price_std,ask_price_min,ask_price_q1,ask_price_median,ask_price_q3,ask_price_max,ask_price_mean,ask_price_std,bid_vol_price_sum,bid_vol_price_min,bid_vol_price_q1,bid_vol_price_median,bid_vol_price_q3,bid_vol_price_max,bid_vol_price_mean,bid_vol_price_std,ask_vol_price_sum,ask_vol_price_min,ask_vol_price_q1,ask_vol_price_median,ask_vol_price_q3,ask_vol_price_max,ask_vol_price_mean,ask_vol_price_std,spread_min,spread_btwn_means,spread_btwn_medians,spread_btwn_vol_sums,spread_btwn_vol_means,spread_btwn_vol_medians
b'2024-03-03T18:31:39.262273Z',0.01,1687.2325,2400.755,3040.0525,3463.42,2244.600803285256,923.9051924969424,3463.65,3623.3075,4100.88,5801.4525,33333333.33,36407.219685714284,711071.14992917,58313085.78923403,0.0009416000000000001,27.493425,109.28536297099998,991.999991230625,2813482.9817999997,5840.65362472296,54136.012648882206,477801799.04756165,0.7941946752,128.447025,1792.5774999999999,7850.733473383276,86006715.38140693,113762.33310656229,1686809.4306981151,0.2300000000000182,34162.61888242903,1700.125,419488713.2583276,107921.67948183932,1683.2921370289998
b'2024-03-03T18:31:39.430694Z',0.01,1687.2325,2400.755,3040.0525,3463.42,2244.600775240385,923.9051579432266,3463.64,3622.76,4100.76,5801.27,33333333.33,36399.37697691025,710986.6953879574,58305501.409206785,0.0009416000000000001,27.493425,109.28536297099998,991.9999856662499,2813482.9817999997,5839.893971274718,54136.65979705784,477805972.93381834,0.7941946752,127.2829554388,1794.87,7880.97,86006715.38140693,113736.24683023526,1686609.503762417,0.2199999999997999,34154.77620166987,1700.005,419500471.52461153,107896.35285896054,1685.5846370289999
b'2024-03-03T18:31:39.513319Z',0.01,1687.2325,2400.755,3040.0525,3463.42,2244.600752203526,923.9051275590546,3463.64,3623.3075,4100.88,5801.4525,33333333.33,36407.21876666666,711071.1499717401,58304514.46979758,0.0009416000000000001,27.493425,109.28536297099998,991.9999856662499,2813482.9817999997,5839.795119170431,54136.647531755516,477805863.1351025,0.7941946752,127.8390388597,1795.3649999999998,7884.0175,86006715.38140693,113763.30074645298,1686809.3672415128,0.2199999999997999,34162.61801446313,1700.125,419501348.6653049,107923.50562728255,1686.0796370289997
b'2024-03-03T18:31:39.826145Z',0.01,1684.2725,2399.185,3039.1575000000003,3463.22,2243.3834108682577,923.567403446581,3463.44,3624.0225,4102.14,5803.99,33333333.33,36438.60871782649,711409.2701893039,58252121.05175121,0.0009416000000000001,27.448508640975,109.2853625286,989.9994553560749,2813482.9817999997,5840.397137733227,54168.3571239817,477817043.11364895,0.7941946752,128.447025,1799.5023026007502,7884.0175,86006715.38140693,113874.41446941109,1687609.3669780074,0.22000000000025466,34195.22530695824,1702.9550000000004,419564922.06189775,108034.01733167787,1690.2169400721502
b'2024-03-03T18:31:40.005501Z',0.01,1684.5149999999999,2399.23,3039.25,3463.24,2243.4994897243105,923.5938113749656,3463.49,3624.0225,4102.14,5803.99,33333333.33,36438.6083841754,711409.2702047675,58265993.04602876,0.0009416000000000001,27.45700576065,109.2853625562,989.999974591,2813482.9817999997,5841.202310378823,54165.68597665586,477818392.551846,0.7941946752,128.447025,1797.8850000000002,7894.7425,86006715.38140693,113874.73607050668,1687609.348257731,0.25,34195.10889445109,1702.9100000000003,419552399.5058173,108033.53376012786,1688.5996374438002
b'2024-03-03T18:31:40.150460Z',0.01,1685.955,2400.0,3039.4700000000003,3463.29,2243.9989768513883,923.7450334795578,3463.5,3623.3075,4100.88,5801.4525,33333333.33,36407.20893095238,711071.1504270426,58287770.06435324,0.0009416000000000001,27.45700576065,109.2853626366,990.0049454872499,2813482.9817999997,5841.043197149338,54154.91004911463,477822668.31335956,0.7941946752,128.447025,1797.8850000000002,7850.733473383276,86006715.38140693,113767.30197937132,1686809.1195773378,0.21000000000003638,34163.20995410099,1700.88,419534898.24900633,107926.25878222198,1688.5996373634002
b'2024-03-03T18:31:40.268570Z',0.01,1684.7575,2399.58,3039.31,3463.19,2243.631874498797,923.6412865497628,3463.59,3623.6475,4101.38,5801.8175,33333333.33,36422.90375178657,711240.1499194223,58232588.55342365,0.0009416000000000001,27.493425,109.2853626857,991.9853220320999,2813482.9817999997,5837.2682992605905,54161.001282096615,477793381.287896,0.7941946752,128.6159267904,1797.8850000000002,7829.990973383276,86006715.38140693,113814.5262715331,1687209.4715907918,0.40000000000009095,34179.27187728778,1701.8000000000002,419560792.73447233,107977.25797227252,1688.5996373143003
b'2024-03-03T18:31:40.369782Z',0.01,1686.4325000000001,2400.0299999999997,3039.565,3463.21,2244.109801603206,923.7647175627505,3463.58,3623.3075,4100.88,5801.4525,33333333.33,36407.20884047619,711071.150431234,58234692.52907325,0.0009416000000000001,27.493425,109.28536282939999,990.502532303625,2813482.9817999997,5835.139531971268,54150.2709848886,477793979.59255,0.7941946752,128.6719803712,1796.3125,7808.6636577944255,86006715.38140693,113760.47133155951,1686809.5251880737,0.36999999999989086,34163.099038872984,1700.8500000000004,419559287.06347674,107925.33179958825,1687.0271371706
b'2024-03-03T18:31:40.405051Z',0.01,1685.955,2400.0,3039.4700000000003,3463.21,2243.9878735344223,923.7306966358827,3463.58,3623.3075,4100.88,5801.4525,33333333.33,36407.20884047619,711071.150431234,58221178.882513195,0.0009416000000000001,27.48695,109.28536273479999,990.0049454872499,2813482.9817999997,5834.370065388635,54152.92957028025,477793979.59255,0.7941946752,128.6719803712,1796.3125,7808.6636577944255,86006715.38140693,113760.47133155951,1686809.5251880737,0.36999999999989086,34163.220966941764,1700.88,419572800.71003675,107926.10126617088,1687.0271372652
b'2024-03-03T18:31:40.542513Z',0.01,1685.955,2400.0,3039.4700000000003,3463.21,2243.9878735344223,923.7306966358827,3463.58,3623.3075,4100.88,5801.4525,33333333.33,36407.20884047619,711071.150431234,58221178.882513195,0.0009416000000000001,27.48695,109.28536273479999,990.0049454872499,2813482.9817999997,5834.370065388635,54152.92957028025,477793981.5098824,0.7941946752,128.6719803712,1796.3125,7808.6636577944255,86006715.38140693,113760.47178806724,1686809.52515864,0.36999999999989086,34163.220966941764,1700.88,419572802.62736917,107926.1017226786,1687.0271372652
b'2024-03-03T18:31:40.612732Z',0.01,1687.0175,2400.285,3039.865,3463.21,2244.348523342015,923.8260790475415,3463.55,3622.76,4100.76,5801.27,33333333.33,36399.36222566055,710986.6960708622,58222378.72893377,0.0009416000000000001,27.524445778799997,109.28536297099998,989.9999889042499,2813482.9817999997,5832.736799131814,54144.8733846988,477795914.0782758,0.7941946752,128.94308465999998,1794.87,7798.0,86006715.38140693,113733.85243472406,1686609.6419797845,0.3400000000001455,34155.01370231854,1700.4750000000004,419573535.34934205,107901.11563559224,1685.5846370289999
b'2024-03-03T18:31:40.701175Z',0.01,1687.125,2400.51,3039.9700000000003,3463.21,2244.4704277271358,923.8600937536263,3463.56,3623.6475,4101.38,5801.8175,33333333.33,36422.89895664603,711240.1501415813,58236625.21285405,0.0009416000000000001,27.548991557599997,109.285363018,990.0049454872499,2813482.9817999997,5833.579606616653,54142.22694293491,477789608.4216807,0.7941946752,128.76077653619998,1795.3649999999998,7829.990973383276,86006715.38140693,113813.62754208688,1687209.5400350268,0.34999999999990905,34178.42852891889,1700.87,419552983.20882666,107980.04793547023,1686.0796369819998
b'2024-03-03T18:31:40.833564Z',0.01,1687.34,2401.0,3040.21,3463.25,2244.7143224837255,923.9282606761514,3463.56,3623.51,4101.0,5801.635,33333333.33,36415.053076923075,711155.635177541,58296598.24115303,0.0009416000000000001,27.499899999999997,109.285363018,990.0098978715,2813482.9817999997,5838.417450290739,54139.88800992418,477795016.72263384,0.7941946752,127.6536777194,1796.765,7819.327315588851,86006715.38140693,113787.81060315167,1687009.4517258992,0.30999999999994543,34170.33875443935,1700.0,419498418.48148084,107949.39315286092,1687.479636982
b'2024-03-03T18:31:40.918548Z',0.01,1687.2325,2400.755,3040.0525,3463.25,2244.597357772436,923.9006003527227,3463.56,3623.51,4101.0,5801.635,33333333.33,36415.06536318171,711155.6346087073,58285765.419117086,0.0009416000000000001,27.6137707788,109.285363213,991.9853220320999,2813482.9817999997,5837.917209446823,54142.40326545891,477795024.07671773,0.7941946752,127.6536777194,1796.765,7819.327315588851,86006715.38140693,113787.81235454102,1687009.4517176074,0.30999999999994543,34170.468005409275,1700.245,419509258.65760064,107949.8951450942,1687.4796367870001
b'2024-03-03T18:31:41.015760Z',0.01,1687.34,2401.0,3040.21,3463.27,2244.7196685027543,923.9351656365126,3463.56,3624.0,4101.76,5802.0,33333333.33,36430.76840362164,711324.6943258597,58285949.102213964,0.0009416000000000001,27.5980831152,109.2853632,990.0098978715,2813482.9817999997,5837.350936626336,54139.97116975837,477792900.2709307,0.7941946752,128.02439999999999,1799.9996052015001,7840.654631177701,86006715.38140693,113841.52972859917,1687409.5545051747,0.2899999999999636,34186.048735118886,1700.7600000000002,419506951.1687167,108004.17879197284,1690.7142420015002
