update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3319366879586,27981.30000000,12.27900000,27981.40000000,2.30400000,1696204800123,1696204800129
3319366879623,27981.30000000,12.27900000,27981.40000000,2.30100000,1696204800123,1696204800129
3319366879864,27981.30000000,12.27900000,27981.40000000,2.30400000,1696204800124,1696204800131
3319366879907,27981.30000000,12.27900000,27981.40000000,2.30600000,1696204800124,1696204800131
3319366880120,27981.30000000,12.21100000,27981.40000000,2.30600000,1696204800126,1696204800131
3319366881326,27981.30000000,12.04200000,27981.40000000,2.30600000,1696204800132,1696204800139
3319366881559,27981.30000000,12.10600000,27981.40000000,2.30600000,1696204800135,1696204800141
3319367291471,27981.30000000,12.10600000,27981.40000000,0.51900000,1696204801226,1696204801830
3319367297007,27981.30000000,12.10600000,27981.40000000,0.51700000,1696204801240,1696204801853
3319367297015,27981.30000000,12.10600000,27981.40000000,0.51400000,1696204801240,1696204801853
3319367297035,27981.30000000,12.10600000,27981.40000000,0.51100000,1696204801240,1696204801853
3319367297067,27981.30000000,12.10600000,27981.40000000,0.50800000,1696204801240,1696204801853
3319367366560,27981.30000000,12.10600000,27981.40000000,0.50500000,1696204801418,1696204802142
3319367393860,27981.30000000,12.10600000,27981.50000000,0.00100000,1696204801486,1696204802254
3319367393879,27981.30000000,12.29500000,27981.50000000,0.00100000,1696204801486,1696204802256
3319367406082,27981.30000000,12.29500000,27981.40000000,0.00200000,1696204801517,1696204802307
3319367676704,27981.50000000,7.62200000,27981.60000000,0.00100000,1696204802232,1696204803433
3319368321776,27981.50000000,7.62000000,27981.60000000,0.00100000,1696204803866,1696204805892
3319368380675,27982.20000000,4.54200000,27982.30000000,0.13900000,1696204804007,1696204806127
3319368610122,27982.20000000,4.38000000,27982.30000000,0.13900000,1696204804597,1696204807079
3319368610288,27982.20000000,4.37900000,27982.30000000,0.13900000,1696204804598,1696204807079
3319368610297,27982.20000000,4.33200000,27982.30000000,0.13900000,1696204804598,1696204807079
3319368612442,27982.20000000,5.04600000,27982.30000000,0.13600000,1696204804605,1696204807088
3319368613241,27981.90000000,1.18200000,27982.30000000,0.13600000,1696204804608,1696204807094
3319368613718,27981.90000000,1.18200000,27982.30000000,0.13300000,1696204804610,1696204807096
